Description,label,variable,distribution,lower,median,upper
,n,n,const,1,,1
,var_cv,var_CV,tnorm_0_1,0.01,,0.05
,,,,,
,yield,yield,posnorm,90,,100
,quality,quality,posnorm,90,,100
,season length,season_length,posnorm,70,,80
,,,,,
,chill0,chill_req_0,tnorm_0_1,0.9,,0.95
,spring0,warm_spring_0,tnorm_0_1,0.5,,0.55
,frost0,daily_rain,tnorm_0_1,0.1,,0.3
,temp0,daily_temp_change_0,tnorm_0_1,0.2,,0.4
,,,,,
,chill25,chill_req_2.5,tnorm_0_1,0.8,,0.9
,spring25,warm_spring_2.5,tnorm_0_1,0.55,,0.65
,frost25,daily_temp_change,tnorm_0_1,0.1,,0.35
,temp25,daily_temp_change_2.5,tnorm_0_1,0.25,,0.45
,,,,,
,chill45,chill_req_4.5,tnorm_0_1,0.7,,0.85
,spring45,chill_requirement,tnorm_0_1,0.6,,0.75
,frost45,late_frost_4.5,tnorm_0_1,0.1,,0.4
,temp45,daily_temp_change_4.5,tnorm_0_1,0.25,,0.55
,,,,,
,chill85,extreme_weather,tnorm_0_1,0.6,,0.75
,spring85,heatwave,tnorm_0_1,0.7,,0.85
,frost85,warm_spring,tnorm_0_1,0.1,,0.45
,temp85,daily_temp_change_8.5,tnorm_0_1,0.35,,0.65
