Description,label,variable,distribution,lower,median,upper
,n,n,const,1,,1
,var_cv,var_CV,tnorm_0_1,0.01,,0.05
,,,,,
,yield,yield,posnorm,90,,100
,season length,season_length,posnorm,70,,80
,,,,,
,chill0,chill_req_0,tnorm_0_1,0.9,,0.95
,spring0,warm_spring_0,tnorm_0_1,0.5,,0.55
,frost0,late_frost_0,tnorm_0_1,0.1,,0.3
,temp0,daily_temp_change_0,tnorm_0_1,0.1,,0.2
,,,,,
,chill25,chill_req_2.5,tnorm_0_1,0.8,,0.9
,spring25,warm_spring_2.5,tnorm_0_1,0.85,,0.95
,frost25,late_frost_2.5,tnorm_0_1,0.1,,0.35
,temp25,daily_temp_change_2.5,tnorm_0_1,0.15,,0.25
,,,,,
,chill45,chill_req_4.5,tnorm_0_1,0.7,,0.85
,spring45,warm_spring_4.5,tnorm_0_1,0.6,,0.75
,frost45,late_frost_4.5,tnorm_0_1,0.1,,0.4
,temp45,daily_temp_change_4.5,tnorm_0_1,0.25,,0.55
,,,,,
,chill85,chill_req_8.5,tnorm_0_1,0.6,,0.75
,spring85,warm_spring_8.5,tnorm_0_1,0.7,,0.85
,frost85,late_frost_8.5,tnorm_0_1,0.1,,0.45
,temp85,daily_temp_change_8.5,tnorm_0_1,0.55,,0.65
