"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_1","43","75","80","89","100","110","121","127","169","100","0","0","1"
"y.output_2","48","78","83","93","103","114","125","131","170","104","0","0","1"
"y.output_3"," 3","12","13","15"," 18"," 21"," 23"," 25"," 32"," 18","0","0","1"
"y.output_4","43","70","75","83"," 92","102","112","118","154"," 93","0","0","1"
"y.output_5","43","72","77","86"," 96","106","115","122","159"," 96","0","0","1"
"y.output_6"," 6","14","15","17"," 20"," 22"," 25"," 26"," 33"," 20","0","0","1"
"y.output_7","37","66","70","78"," 88"," 98","108","116","165"," 89","0","0","1"
"y.output_8","42","67","72","81"," 91","101","112","119","172"," 92","0","0","1"
"y.output_9"," 5","14","16","18"," 21"," 23"," 26"," 27"," 32"," 21","0","0","1"
"y.output_10","37","63","68","75"," 84"," 93","101","106","155"," 84","0","0","1"
"y.output_11","35","64","69","76"," 86"," 95","104","109","157"," 86","0","0","1"
"y.output_12"," 8","16","17","20"," 22"," 24"," 26"," 27"," 33"," 22","0","0","1"
