"","VIP","Coefficient"
"var_CV",0.2438801252983,-10243.8095605222
"yield",0.138699412736947,-5825.85550378778
"quality",1.17573582032745,-49384.9747788476
"season_length",0.29271183289303,12294.9103318691
"chill_req_0",0.442396277657113,-18582.1752103018
"warm_spring_0",0.525391780036417,-22068.273635557
"daily_rain",0.476718931753631,-20023.845505273
"daily_temp_change_0",0.108999632150668,-4578.36190035038
"chill_req_2.5",0.989966544644564,-41582.02207836
"warm_spring_2.5",0.838359943745416,-35214.0199878682
"daily_temp_change",1.19073954389674,-50015.183110726
"daily_temp_change_2.5",0.137860635362432,-5790.62395026248
"chill_req_4.5",0.111003012015106,-4662.51079023465
"chill_requirement",0.280357371766866,-11775.9801941856
"late_frost_4.5",0.198688537744538,8345.60643276765
"daily_temp_change_4.5",3.38050860377723,-141993.064471507
"extreme_weather",1.51469291089628,-63622.3460313382
"heatwave",0.540875885271035,22718.6596604309
"warm_spring",0.316112335646965,-13277.8124586356
"daily_temp_change_8.5",0.614494894384969,-25810.9129076977
