"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"output_1","75","100","127","100","0","100","0","PA"
"output_2","78","103","131","104","0","104","0","PA"
"output_3","12"," 18"," 25"," 18","0"," 18","0","PA"
"output_4","70"," 92","118"," 93","0"," 93","0","PA"
"output_5","72"," 96","122"," 96","0"," 96","0","PA"
"output_6","14"," 20"," 26"," 20","0"," 20","0","PA"
"output_7","66"," 88","116"," 89","0"," 89","0","PA"
"output_8","67"," 91","119"," 92","0"," 92","0","PA"
"output_9","14"," 21"," 27"," 21","0"," 21","0","PA"
"output_10","63"," 84","106"," 84","0"," 84","0","PA"
"output_11","64"," 86","109"," 86","0"," 86","0","PA"
"output_12","16"," 22"," 27"," 22","0"," 22","0","PA"
