"","n","var_CV","yield","season_length","rain_prob","strong_rain_prob","storm_prob","frost_prob","chill_requirement","output_1","output_2","output_3","output_4","output_5","output_6","output_7","output_8","output_9","output_10","output_11","output_12"
"1",1,0.0631974109511892,93.3915731810534,75.103807074314,0.239529851585159,0.0587312089941943,0.106906253341224,0.309132773474985,0.633384144762539,108.354268683124,115,13,-15,-20,7,50,50,8,20,20,7
"2",1,0.0275681487811839,95.5242058669536,69.6261375749058,0.174583994444393,0.0605432195354557,0.0789353924484679,0.220854002841675,0.635682813847106,70.536257248047,75,21,-5,-10,-3,110,100,-6,-35,-40,1
"3",1,0.0335505800143288,93.9693412262906,77.994069148231,0.36642323066946,0.0657421558165309,0.0912602698837055,0.339846105561557,0.73632158607241,178.901995767089,180,19,-160,-160,6,-90,-85,4,-5,-5,-2
"4",1,0.014623511921968,95.5969331600507,73.1844019965512,0.216891426544067,0.0632668710912301,0.106753353988079,0.336835354000537,0.867093370939816,120.563731254778,120,15,-100,-100,8,-30,-25,2,-40,-35,8
"5",1,0.0271050845544358,95.2855867180818,72.8127466006431,0.264207103782357,0.0762840815806135,0.0824523635791815,0.384398417802269,0.724897460541979,135.279745317091,140,13,-15,-15,3,70,60,2,-125,-130,8
"6",1,0.00641452842680238,100.150313803921,70.9887583879208,0.343726656688359,0.0875116569900304,0.0897539870749174,0.269694102000744,0.54024135744547,105.154399651551,95,19,-10,0,-1,65,75,0,65,75,-3
"7",1,0.0166139970387525,97.676698374854,77.6088651959662,0.0323040980323934,0.0891341305445556,0.0724212890494437,0.293018680857613,0.685330255302336,137.666739037155,140,20,-125,-125,0,35,30,0,-115,-125,2
"8",1,0.00442680063918523,90.8216911433376,75.6322455947268,0.288438107545416,0.0789333341050888,0.0624976912722312,0.255051431150425,0.65072713751733,135.822260214769,145,23,-90,-95,-2,-65,-65,-3,15,5,-9
"9",1,0.0317157385032661,99.6894764319873,68.0198929494772,0.344617131539663,0.0680321056123736,0.110407484248481,0.318372926417984,0.790505794208724,144.730030506741,145,19,-190,-190,2,-165,-165,8,-20,-20,-2
"10",1,0.0226813203974759,92.9895909444739,74.9208304316127,0.368731918407243,0.033133246399529,0.0698559922433781,0.374118584567448,0.738008963026332,112.982023673946,115,21,-195,-190,3,55,55,-1,5,10,0
"11",1,0.0444789712256083,98.319037136915,80.1287896826635,0.235234392625634,0.0780377012169081,0.0731244472487915,0.203050441456996,0.835392925184649,113.320955122971,115,19,-20,-20,5,20,15,2,-55,-55,4
"12",1,0.0186085503646038,93.1471637825992,81.5090347346782,0.323094107197667,0.0963007504861019,0.0374389231559734,0.238760149866718,0.723868269472644,263.168722238127,270,15,-365,-365,6,-285,-285,8,-240,-245,8
"13",1,0.028344970637881,96.2567583144457,79.8108663759224,0.504667360955077,0.0616434361726091,0.0644101356795718,0.284685900155762,0.571765530268233,96.2636725310753,95,18,10,15,2,110,110,0,25,30,4
"14",1,0.0299492207336897,99.1861675080194,75.7539881962578,0.312778709214536,0.0609991658148713,0.083602030785032,0.374002036880069,0.688279989681753,209.198563027841,210,16,-120,-125,2,-125,-130,0,-135,-140,5
"15",1,0.0426563337857716,95.0519192495499,78.5421484510303,0.362059563903403,0.0906450743562899,0.0938888750089553,0.377746644354362,0.750307641435543,160.052622221634,165,16,-110,-110,5,-110,-115,8,-70,-75,8
"16",1,0.0331013643660856,99.7894583942563,75.5247304609229,0.301473703176872,0.0698095376917161,0.0706547873105142,0.317562107398927,0.803900306268537,129.781724191397,130,20,-115,-120,8,-30,-30,-4,100,100,0
"17",1,0.0249525343074024,92.2247233778244,79.4357373548344,0.322207981925279,0.0859304809084948,0.0638316640107018,0.272410793740573,0.731205391703857,132.189530793127,140,16,-45,-50,7,0,0,7,-100,-100,6
